Project_ID,Country,Year,Technology,Installed_Capacity_MW,Capacity_Factor_Percent,Annual_Generation_MWh,Estimated_CO2_Avoided_tons_per_year
RE-00001,India,2023,Solar PV,658.88,27.74,1601094.21,1181305.2
RE-00007,South Africa,2023,Solar PV,952.44,22.86,1907295.39,506213.2
RE-00016,India,2022,Solar PV,1153.2,15.72,1588039.43,426716.16
RE-00018,India,2011,Solar PV,1336.3,28.3,3312794.6,2106957.96
RE-00022,Spain,2012,Solar PV,994.63,29.29,2552025.63,669727.44
RE-00024,Chile,2017,Solar PV,796.62,23.7,1653878.71,754641.34
RE-00028,Poland,2020,Solar PV,624.98,14.79,809726.59,243594.87
RE-00044,India,2017,Solar PV,260.52,15.47,353049.41,169209.63
RE-00084,South Africa,2013,Solar PV,566.34,25.51,1265586.41,518341.47
RE-00087,United Kingdom,2018,Solar PV,1439.04,24.44,3080904.05,1159092.01
RE-00109,United Kingdom,2026,Solar PV,478.17,21.38,895558.85,524915.89
RE-00116,Argentina,2020,Solar PV,628.57,26.13,1438789.19,636930.02
RE-00119,Australia,2012,Solar PV,1290.56,19.13,2162704.96,927118.77
RE-00134,Australia,2011,Solar PV,851.6,20.36,1518859.26,1115414.03
RE-00157,France,2014,Solar PV,1094.99,26.07,2500663.7,875935.57
RE-00181,South Korea,2013,Solar PV,1139.25,22.86,2281389.14,772251.83
RE-00186,Brazil,2011,Solar PV,1236.8,28.81,3121381.42,808220.79
RE-00197,United States,2012,Solar PV,78.53,29.13,200391.91,59185.93
RE-00204,South Africa,2020,Solar PV,1392.86,22.07,2692860.81,1715270.79
RE-00205,United States,2023,Solar PV,1209.79,18.94,2007215.82,1499660.37
RE-00206,China,2022,Solar PV,904.01,27.71,2194390.26,1003031.12
RE-00211,United Kingdom,2019,Solar PV,1077.38,21.08,1989498.53,1491890.47
RE-00217,United States,2022,Solar PV,1304.17,24.06,2748741.73,1845031.04
RE-00218,Norway,2022,Solar PV,630.91,17.01,940103.85,331085.56
RE-00233,Sweden,2019,Solar PV,996.85,20.99,1832932.02,605224.37
RE-00243,Norway,2017,Solar PV,510.24,18.0,804546.43,591314.22
RE-00245,Canada,2022,Solar PV,775.35,23.66,1607002.82,482062.16
RE-00263,Italy,2022,Solar PV,1256.24,15.29,1682612.88,1152324.22
RE-00274,Poland,2021,Solar PV,1396.14,14.58,1783161.18,463854.72
RE-00290,India,2012,Solar PV,927.06,14.08,1143443.22,502954.55
RE-00302,South Africa,2012,Solar PV,214.71,25.44,478490.68,142635.92
RE-00304,Spain,2023,Solar PV,261.49,14.92,341765.34,233096.69
RE-00312,Brazil,2018,Solar PV,1145.35,29.22,2931720.33,1604768.74
RE-00314,France,2012,Solar PV,136.17,20.93,249663.34,134696.69
RE-00317,Chile,2011,Solar PV,467.52,14.2,581557.48,378404.6
RE-00326,Canada,2019,Solar PV,449.97,17.71,698081.66,194521.49
RE-00327,India,2016,Solar PV,232.13,22.46,456714.85,325247.14
RE-00329,Japan,2024,Solar PV,505.67,24.87,1101658.73,727998.53
RE-00331,China,2023,Solar PV,929.95,18.82,1533145.33,719974.38
RE-00343,United Kingdom,2015,Solar PV,1209.18,15.39,1630172.95,1116225.98
RE-00365,Norway,2019,Solar PV,47.6,25.57,106620.76,44132.57
RE-00367,Italy,2020,Solar PV,1438.69,22.13,2789027.17,1026735.14
RE-00373,Argentina,2023,Solar PV,1321.97,22.75,2634554.01,1283726.08
RE-00379,Australia,2012,Solar PV,1430.82,16.32,2045546.06,589487.31
RE-00380,Canada,2016,Solar PV,662.09,23.3,1351378.66,386382.72
RE-00384,United Kingdom,2017,Solar PV,1353.65,26.74,3170822.25,1843708.7
RE-00389,United Kingdom,2010,Solar PV,610.49,24.39,1304350.96,620018.95
RE-00395,Italy,2024,Solar PV,1064.2,26.73,2491875.38,664687.29
RE-00400,Canada,2014,Solar PV,1085.79,22.84,2172431.26,1107006.65
RE-00402,Germany,2014,Solar PV,674.58,15.82,934854.55,551090.05
RE-00409,Argentina,2025,Solar PV,235.25,28.56,588561.62,325106.35
RE-00410,France,2016,Solar PV,667.81,23.43,1370658.66,665993.26
RE-00422,Brazil,2020,Solar PV,920.78,17.65,1423654.79,488844.77
RE-00427,France,2010,Solar PV,743.99,24.47,1594796.13,1059340.9
RE-00429,Sweden,2014,Solar PV,537.04,21.66,1018988.29,647342.53
RE-00433,Sweden,2021,Solar PV,1298.66,16.26,1849780.14,489851.27
RE-00439,Australia,2016,Solar PV,935.0,28.77,2356435.62,1413769.9
RE-00443,China,2010,Solar PV,711.18,14.62,910816.76,645949.52
RE-00455,Australia,2019,Solar PV,322.3,25.35,715718.72,180504.59
RE-00456,Argentina,2022,Solar PV,983.58,18.94,1631900.86,885559.08
RE-00462,France,2017,Solar PV,413.12,20.87,755270.94,240893.51
RE-00464,Argentina,2014,Solar PV,1163.01,24.6,2506240.03,924632.19
RE-00494,United States,2020,Solar PV,756.81,22.45,1488357.68,374476.52
RE-00499,India,2014,Solar PV,1200.57,28.65,3013118.55,1826674.92
RE-00501,Germany,2018,Solar PV,94.15,18.13,149527.9,102861.49
RE-00506,United Kingdom,2018,Solar PV,19.37,24.12,40927.11,13995.73
