Project_ID,Country,Year,Technology,Installed_Capacity_MW,Capacity_Factor_Percent,Annual_Generation_MWh,Capital_Cost_USD_per_kW,Estimated_Project_Cost_Million_USD,Lifecycle_Emissions_kgCO2e_per_MWh,Estimated_CO2_Avoided_tons_per_year,Estimated_Jobs,Grid_Connected,Storage_Included,Project_Status
RE-00001,India,2023,Solar PV,658.88,27.74,1601094.21,1327.63,874.75,23.77,1181305.2,2068,Yes,No,Operational
RE-00002,Australia,2013,Biomass,966.15,82.15,6952743.89,2997.22,2895.76,54.32,3666128.97,608,Yes,No,Construction
RE-00003,Italy,2016,Geothermal,1456.08,92.33,11776932.3,5157.86,7510.26,22.79,5692503.91,812,Yes,No,Planned
RE-00004,United Kingdom,2016,Solar CSP,556.32,30.33,1478091.06,3068.41,1707.02,18.9,721090.36,676,Yes,No,Planned
RE-00005,Norway,2021,Geothermal,469.24,90.81,3732783.55,5258.1,2467.31,30.5,1471329.09,1340,Yes,Yes,Planned
RE-00006,Sweden,2023,Solar CSP,1058.04,37.18,3446002.42,3876.75,4101.76,32.06,1102371.0,859,Yes,No,Operational
RE-00007,South Africa,2023,Solar PV,952.44,22.86,1907295.39,1203.29,1146.06,32.16,506213.2,1878,Yes,No,Operational
RE-00008,Canada,2023,Solar CSP,422.79,26.46,979983.25,4485.75,1896.53,31.71,629099.37,1180,Yes,No,Operational
RE-00009,Spain,2010,Onshore Wind,135.98,41.61,495652.0,1700.44,231.23,9.1,248084.92,128,Yes,No,Operational
RE-00010,Norway,2021,Geothermal,543.36,72.19,3436123.88,2648.42,1439.05,53.48,2420028.87,1586,Yes,No,Planned
RE-00011,India,2022,Onshore Wind,674.59,31.26,1847281.07,1225.31,826.58,18.73,882793.72,761,Yes,Yes,Planned
RE-00012,China,2010,Onshore Wind,1079.47,34.94,3303981.33,1915.5,2067.72,14.59,1899535.85,759,Yes,Yes,Operational
RE-00013,France,2015,Solar CSP,217.64,22.27,424583.43,4262.93,927.78,20.12,302541.19,542,Yes,Yes,Planned
RE-00014,Spain,2017,Onshore Wind,1174.32,26.9,2767214.62,1732.66,2034.7,13.38,1989387.19,2886,Yes,Yes,Operational
RE-00015,United Kingdom,2018,Hydroelectric,658.93,30.76,1775536.96,4444.13,2928.37,31.78,568392.96,1577,Yes,Yes,Construction
RE-00016,India,2022,Solar PV,1153.2,15.72,1588039.43,1524.41,1757.95,29.21,426716.16,2764,Yes,No,Planned
RE-00017,Italy,2015,Biogas,1429.4,60.18,7535465.18,2836.14,4053.98,41.64,5410628.16,1418,Yes,No,Planned
RE-00018,India,2011,Solar PV,1336.3,28.3,3312794.6,1166.97,1559.42,32.64,2106957.96,3717,Yes,Yes,Construction
