Cod,Acai_value
1500107,5600.0
1500131,8000.0
1500206,12000.0
1500305,0.0
1500347,10000.0
1500404,4961.0
1500503,8000.0
1500602,8000.0
1500701,10000.0
1500800,4185.0
1500859,6271.0
1500909,6444.0
1500958,6000.0
1501006,6000.0
1501105,8800.0
1501204,5750.0
1501253,0.0
1501303,7000.0
1501402,4000.0
1501451,5600.0
1501501,3125.0
1501576,6000.0
1501600,11700.0
1501709,6000.0
1501725,6000.0
1501758,6000.0
1501782,10083.0
1501808,7715.0
1501907,11379.0
1501956,4500.0
1502004,3423.0
1502103,5261.0
1502152,6000.0
1502202,3000.0
1502301,11803.0
1502400,8000.0
1502509,
1502608,6000.0
1502707,0.0
1502756,6500.0
1502764,5000.0
1502772,6000.0
1502806,9000.0
1502855,7000.0
1502905,7000.0
1502939,9283.0
1502954,5000.0
1503002,0.0
1503044,0.0
1503077,3037.0
1503093,6000.0
1503101,8000.0
1503200,8401.0
1503309,5000.0
1503408,6477.0
1503457,8053.0
1503507,5993.0
1503606,2000.0
1503705,6088.0
1503754,2000.0
1503804,10000.0
1503903,6000.0
1504000,6000.0
1504059,3000.0
1504109,8000.0
1504208,6000.0
1504307,8872.0
1504406,6551.0
1504422,
1504455,15000.0
1504505,6000.0
1504604,2000.0
1504703,6500.0
1504752,6563.0
1504802,3658.0
1504901,4394.0
1504950,10000.0
1504976,8000.0
1505007,3469.0
1505031,5000.0
1505064,3000.0
1505106,8000.0
1505205,6500.0
1505304,0.0
1505403,10000.0
1505437,10800.0
1505486,6000.0
1505494,8000.0
1505502,4817.0
1505536,6000.0
1505551,0.0
1505601,3950.0
1505635,0.0
1505650,0.0
1505700,3867.0
1505809,10000.0
1505908,8000.0
1506005,3000.0
1506104,0.0
1506112,10000.0
1506138,0.0
1506161,
1506187,7440.0
1506195,0.0
1506203,0.0
1506302,4000.0
1506351,4700.0
1506500,10500.0
1506559,0.0
1506583,2000.0
1506609,5123.0
1506708,
1506807,4000.0
1506906,0.0
1507003,7428.0
1507102,8000.0
1507151,5000.0
1507201,5000.0
1507300,0.0
1507409,7000.0
1507458,13000.0
1507466,6000.0
1507474,3000.0
1507508,8640.0
1507607,12000.0
1507706,3155.0
1507755,0.0
1507805,0.0
1507904,0.0
1507953,10000.0
1507961,6948.0
1507979,0.0
1508001,2960.0
1508035,6000.0
1508050,4701.0
1508084,2456.0
1508100,9000.0
1508126,7467.0
1508159,6000.0
1508209,7140.0
1508308,6800.0
1508357,6000.0
1508407,0.0
